text,label
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Geç Yaprak Yanıklığı (Phytophthora infestans)
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Fusarium Solgunluğu
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Verticillium Solgunluğu
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Antraknoz (Colletotrichum spp.)
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Sclerotinia Gövde Çürüklüğü
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Septoria Yaprak Lekesi
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Cladosporium Yaprak Küfü
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Botrytis (Gri Küf)
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Rhizoctonia Kök Çürüklüğü
Yapraklarda belirgin görsel değişimler Meyve/gövde üzerinde hastalık belirtileri Uygunsuz çevresel koşullar Zararlı bulaşı Zayıf tarım pratiği Verim kaybı Bitki gelişiminde bozulma Ürün kalitesinde düşüş Uygun kimyasal/organik mücadele Tarımsal hijyenin sağlanması Dirençli çeşitlerin kullanımı Sezona bağlı olarak gelişim dönemi boyunca görülebilir,Pythium Kök Çürüklüğü
